month,day,temp,RH,wind,rain,area
sep,fri,19.6,33,5.4,0,0
sep,fri,19.6,33,6.3,0,0
mar,fri,17.2,26,4.5,0,0
mar,fri,15.8,27,7.6,0,0
sep,fri,17.7,37,3.6,0,0
mar,fri,15.6,25,6.3,0,0
aug,tue,17.3,43,4.5,0,0
sep,fri,27.6,30,1.3,0,0
feb,thu,6.7,79,3.1,0,0
feb,fri,15.7,43,3.1,0,0
mar,mon,8.3,72,3.1,0,0
aug,fri,14.7,66,2.7,0,0
aug,tue,21.6,19,6.7,0,0
aug,sun,19.5,39,6.3,0,0
aug,sun,17.9,44,2.2,0,0
aug,tue,18.6,51,4.5,0,0
aug,wed,16.6,47,0.9,0,0
aug,thu,20.2,45,3.6,0,0
sep,thu,21.5,15,0.9,0,0
sep,thu,25.4,27,2.2,0,0
sep,thu,22.4,34,2.2,0,0
sep,sun,25.3,36,3.6,0,0
mar,sat,17.4,25,4.9,0,0
aug,sat,14.7,59,5.8,0,0
mar,fri,17.4,24,5.4,0,0
aug,sun,20.8,32,6.3,0,0
aug,sun,18.2,43,4.9,0,0
aug,mon,23.4,22,2.7,0,0
sep,sun,17.8,64,1.3,0,0
feb,sat,12.7,48,1.8,0,0
mar,sat,17.4,24,5.4,0,0
aug,sun,11.6,87,4.5,0,0
aug,sun,19.8,39,5.4,0,0
aug,sun,19.8,39,5.4,0,0
aug,tue,14.4,66,5.4,0,0
aug,tue,20.1,40,4,0,0
sep,sat,24.1,29,4.5,0,0
jan,sat,5.3,78,3.1,0,0
mar,fri,12.7,52,6.3,0,0
mar,thu,18.2,29,3.1,0,0
aug,sun,21.4,33,3.1,0,0
sep,sat,20.3,45,3.1,0,0
sep,mon,17.4,56,5.4,0,0
mar,fri,13.7,43,5.8,0,0
mar,fri,18.8,18,4.5,0,0
sep,sun,22.8,39,3.6,0,0
sep,mon,18.9,35,2.7,0,0
mar,tue,15.8,27,7.6,0,0
mar,tue,15.5,27,6.3,0,0
mar,sat,11.6,30,6.3,0,0
mar,sat,15.2,27,4.9,0,0
mar,mon,10.6,30,4,0,0
aug,thu,19.6,36,3.1,0,0
aug,mon,10.3,74,2.2,0,0
aug,mon,17.1,43,5.4,0,0
sep,sun,22.5,42,5.4,0,0
sep,tue,17.9,45,3.1,0,0
sep,fri,19.8,50,5.4,0,0
oct,sun,20.6,24,5.4,0,0
mar,mon,9,49,2.2,0,0
sep,fri,17.2,43,3.1,0,0
oct,wed,15.9,46,3.6,0,0
oct,sun,15.4,35,0.9,0,0
feb,sat,15.4,40,2.7,0,0
mar,mon,14,39,3.1,0,0
mar,sun,10.6,46,4.9,0,0
sep,thu,17.6,42,3.1,0,0
mar,tue,14.9,38,2.7,0,0
aug,sat,17.6,52,5.8,0,0
sep,sun,17.2,58,1.3,0,0
sep,mon,15.6,66,3.1,0,0
jul,tue,18,42,2.7,0,0.36
sep,tue,21.7,38,2.2,0,0.43
sep,mon,21.9,39,1.8,0,0.47
aug,wed,23.3,31,4.5,0,0.55
aug,fri,21.2,51,8.9,0,0.61
jul,sat,16.6,53,5.4,0,0.71
aug,wed,23.8,32,5.4,0,0.77
aug,thu,27.4,22,4,0,0.9
mar,mon,13.2,40,5.4,0,0.95
sep,tue,24.2,28,3.6,0,0.96
aug,tue,17.4,43,6.7,0,1.07
sep,thu,23.7,25,4.5,0,1.12
jun,fri,23.2,39,5.4,0,1.19
jul,sun,24.8,29,2.2,0,1.36
jul,sat,24.6,43,1.8,0,1.43
sep,fri,20.1,47,4.9,0,1.46
sep,sat,29.6,27,2.7,0,1.46
aug,sun,16.4,47,1.3,0,1.56
sep,sat,28.6,27,2.2,0,1.61
aug,wed,18.4,45,3.6,0,1.63
aug,wed,20.5,35,4,0,1.64
sep,fri,19,34,5.8,0,1.69
mar,mon,16.1,29,3.1,0,1.75
aug,thu,20.3,41,4,0,1.9
mar,sat,15.2,31,8.5,0,1.94
sep,sat,17.8,56,1.8,0,1.95
sep,sun,17.8,67,2.2,0,2.01
mar,thu,5.3,70,4.5,0,2.14
aug,wed,16.6,47,0.9,0,2.29
aug,wed,23.4,33,4.5,0,2.51
mar,fri,14.6,26,9.4,0,2.53
aug,thu,20.7,45,2.2,0,2.55
sep,wed,21.9,35,1.8,0,2.57
aug,wed,17.4,50,4,0,2.69
aug,sun,20.1,39,5.4,0,2.74
sep,mon,17.7,39,2.2,0,3.07
aug,sat,14.2,53,1.8,0,3.5
aug,sat,20.3,39,4.9,0,4.53
apr,thu,5.8,54,5.8,0,4.61
aug,sun,19.2,44,2.7,0,4.69
sep,wed,18.3,45,2.2,0,4.88
aug,tue,14.4,66,5.4,0,5.23
sep,sun,23.9,32,6.7,0,5.33
oct,mon,19.1,32,4,0,5.44
feb,sun,12.4,53,2.2,0,6.38
oct,mon,16.8,45,4.5,0,6.83
aug,fri,20.8,34,4.9,0,6.96
sep,tue,17.6,46,3.1,0,7.04
mar,sun,11.5,39,5.8,0,7.19
sep,mon,21,42,2.2,0,7.3
mar,sat,13.3,42,0.9,0,7.4
mar,sun,11.5,60,4,0,8.24
mar,fri,11.7,33,4,0,8.31
aug,thu,24.2,28,2.7,0,8.68
aug,tue,24.6,22,4.5,0,8.71
sep,wed,24.3,25,4,0,9.41
aug,tue,24.6,22,4.5,0,10.01
aug,fri,23.5,36,5.4,0,10.02
apr,thu,5.8,54,5.8,0,10.93
sep,thu,21.5,15,0.9,0,11.06
sep,tue,13.9,59,6.3,0,11.24
sep,mon,22.6,38,3.6,0,11.32
sep,tue,21.6,33,2.2,0,11.53
mar,sun,12.4,54,3.6,0,12.1
feb,sun,8.8,68,2.2,0,13.05
oct,wed,20.2,37,2.7,0,13.7
mar,sat,15.1,64,4,0,13.99
sep,thu,22.1,34,1.8,0,14.57
aug,sat,22.9,31,7.2,0,15.45
sep,tue,20.7,37,2.2,0,17.2
sep,fri,19.6,33,6.3,0,19.23
sep,thu,23.2,26,4.9,0,23.41
oct,sat,18.4,25,3.1,0,24.23
aug,sat,5.1,96,5.8,0,26
sep,fri,20.1,47,4.9,0,26.13
mar,mon,11,46,5.8,0,27.35
mar,sat,17,27,4.9,0,28.66
mar,sat,17,27,4.9,0,28.66
sep,sun,16.9,60,1.3,0,29.48
sep,mon,12.4,73,6.3,0,30.32
sep,wed,19.4,19,1.3,0,31.72
mar,mon,15.2,27,3.1,0,31.86
aug,sun,16.2,59,3.1,0,32.07
sep,fri,18.6,49,3.6,0,35.88
mar,mon,11,46,5.8,0,36.85
jul,fri,13.4,79,3.6,0,37.02
sep,wed,15.4,57,4.5,0,37.71
sep,sun,22.9,39,4.9,0,48.55
oct,mon,16.1,44,4,0,49.37
aug,sat,20.1,34,4.5,0,58.3
sep,sun,28.3,26,3.1,0,64.1
aug,sat,16.4,43,4,0,71.3
sep,wed,26.4,21,4.5,0,88.49
sep,sun,27.8,27,3.1,0,95.18
sep,tue,18.7,43,2.7,0,103.39
sep,tue,24.3,36,3.1,0,105.66
sep,sat,17.7,25,3.1,0,154.88
aug,sun,19.6,41,5.8,0,196.48
sep,sat,18.2,46,1.8,0,200.94
sep,tue,18.8,40,2.2,0,212.88
sep,sat,25.1,27,4,0,1090.84
apr,sun,13.4,75,1.8,0,0
apr,wed,15.2,51,2.7,0,0
apr,fri,16.7,20,3.1,0,0
aug,sun,15.4,66,4,0,10.13
aug,sun,21.9,73,7.6,1,0
aug,sun,22.4,54,7.6,0,2.87
aug,sun,26.8,38,6.3,0,0.76
aug,sun,25.7,39,5.4,0,0.09
aug,wed,20.7,70,2.2,0,0.75
aug,wed,28.7,28,2.7,0,0
aug,wed,21.7,40,0.4,0,2.47
aug,wed,26.8,25,3.1,0,0.68
aug,wed,24,36,3.1,0,0.24
aug,wed,22.1,37,3.6,0,0.21
aug,thu,21.4,38,2.7,0,1.52
aug,thu,18.9,41,3.1,0,10.34
aug,thu,22.3,46,4,0,0
aug,sat,23.9,41,2.2,0,8.02
aug,sat,21.4,44,2.7,0,0.68
aug,sat,20.6,59,0.9,0,0
aug,sat,23.7,40,1.8,0,1.38
aug,mon,28.3,32,4,0,8.85
aug,fri,11.2,84,7.6,0,3.3
aug,fri,21.4,42,3.1,0,4.25
aug,fri,19.3,39,3.6,0,1.56
aug,fri,21.8,53,3.1,0,6.54
aug,tue,22.1,54,7.6,0,0.79
aug,tue,19.4,55,4,0,0.17
aug,tue,23.7,24,3.1,0,0
aug,tue,21,32,3.1,0,0
aug,tue,19.1,53,2.7,0,4.4
aug,tue,21.8,56,3.1,0,0.52
aug,tue,20.1,58,4.5,0,9.27
aug,tue,20.2,47,4,0,3.09
dec,sun,4.8,57,8.5,0,8.98
dec,wed,5.1,61,8,0,11.19
dec,thu,5.1,61,4.9,0,5.38
dec,mon,4.6,21,8.5,0,17.85
dec,mon,4.6,21,8.5,0,10.73
dec,mon,4.6,21,8.5,0,22.03
dec,mon,4.6,21,8.5,0,9.77
dec,fri,2.2,59,4.9,0,9.27
dec,tue,5.1,24,8.5,0,24.77
feb,sun,4.2,51,4,0,0
feb,wed,8.8,35,3.1,0,1.1
feb,fri,7.5,46,8,0,24.24
jul,sun,23.4,40,6.3,0,0
jul,wed,12.6,90,7.6,0.2,0
jul,sat,22.1,49,2.7,0,0
jul,sat,24.2,32,1.8,0,0
jul,sat,24.3,30,1.8,0,0
jul,sat,18.7,53,1.8,0,0
jul,sat,25.3,39,0.9,0,8
jul,fri,22.9,40,1.3,0,2.64
jul,tue,26.9,28,5.4,0,86.45
jul,tue,17.1,67,3.6,0,6.57
jun,sun,22.2,48,1.3,0,0
jun,sun,14.3,46,1.8,0,0.9
jun,sun,15.4,45,2.2,0,0
jun,wed,19.6,43,4.9,0,0
jun,sat,10.6,90,2.7,0,0
jun,mon,20.7,25,4.9,0,0
jun,mon,19.1,39,5.4,0,3.52
jun,fri,19.2,38,4.5,0,0
jun,fri,19.2,38,4.5,0,0
may,sat,11.3,94,4.9,0,0
sep,sun,19,52,2.2,0,0
sep,sun,17.1,53,5.4,0,0.41
sep,sun,23.8,35,3.6,0,5.18
sep,sun,16,45,1.8,0,0
sep,sun,24.9,27,2.2,0,0
sep,sun,25.3,27,2.7,0,0
sep,sun,24.8,28,1.8,0,14.29
sep,sun,12.2,78,6.3,0,0
sep,wed,24.3,27,4.9,0,0
sep,wed,19.7,41,1.8,0,1.58
sep,wed,18.5,30,2.7,0,0
sep,thu,18.6,24,5.8,0,0
sep,thu,19.2,24,4.9,0,3.78
sep,thu,21.6,27,2.2,0,0
sep,thu,21.6,28,6.3,0,4.41
sep,thu,18.9,34,7.2,0,34.36
sep,thu,16.8,28,4,0,7.21
sep,thu,16.8,28,4,0,1.01
sep,thu,12.9,39,2.7,0,2.18
sep,thu,13.7,56,1.8,0,4.42
sep,sat,24.2,27,3.1,0,0
sep,sat,24.1,27,3.1,0,0
sep,sat,21.2,32,2.2,0,0
sep,sat,19.7,35,1.8,0,0
sep,sat,23.5,27,4,0,3.33
sep,sat,24.2,27,3.1,0,6.58
sep,sat,21.5,28,4.5,0,15.64
sep,sat,17.1,41,2.2,0,11.22
sep,mon,18.1,54,3.1,0,2.13
sep,mon,18,51,5.4,0,0
sep,mon,9.8,86,1.8,0,0
sep,mon,19.3,44,2.2,0,0
sep,mon,23,34,2.2,0,56.04
sep,mon,22.7,35,2.2,0,7.48
sep,mon,20.4,41,1.8,0,1.47
sep,mon,19.3,44,2.2,0,3.93
sep,mon,15.7,51,2.2,0,0
sep,mon,20.6,37,1.8,0,0
sep,mon,15.9,51,4.5,0,2.18
sep,mon,12.2,66,4.9,0,6.1
sep,mon,16.8,43,3.1,0,5.83
sep,mon,21.3,35,2.2,0,28.19
sep,fri,10.1,75,3.6,0,0
sep,fri,17.4,57,4.5,0,0
sep,fri,12.8,64,3.6,0,1.64
sep,fri,10.1,75,3.6,0,3.71
sep,fri,15.4,53,6.3,0,7.31
sep,fri,20.6,43,3.6,0,2.03
sep,fri,19.8,47,2.7,0,1.72
sep,fri,18.7,50,2.2,0,5.97
sep,fri,20.8,35,4.9,0,13.06
sep,fri,20.8,35,4.9,0,1.26
sep,fri,15.9,55,3.6,0,0
sep,fri,19.7,39,2.7,0,0
sep,fri,21.1,39,2.2,0,8.12
sep,fri,18.4,42,2.2,0,1.09
sep,fri,17.3,45,4,0,3.94
sep,fri,15.2,64,3.1,0,0.52
sep,tue,15.9,53,2.2,0,2.93
sep,tue,21.1,35,2.7,0,5.65
sep,tue,19.6,45,3.1,0,20.03
sep,tue,15.9,38,5.4,0,1.75
sep,tue,16.4,27,3.6,0,0
sep,sat,16.8,47,4.9,0,12.64
sep,sun,13.8,77,7.6,0,0
sep,sun,13.8,77,7.6,0,11.06
jul,wed,14.2,58,4,0,0
aug,sun,10.4,75,0.9,0,0
aug,thu,20.3,42,2.7,0,0
sep,fri,10.3,78,4,0,18.3
sep,sat,15.4,57,4.9,0,39.35
aug,mon,21.1,54,2.2,0,0
aug,sat,21.9,42,2.2,0,174.63
mar,thu,8.7,51,5.8,0,0
jan,sun,5.2,100,0.9,0,0
jul,wed,19.3,39,7.2,0,7.73
aug,thu,16.2,63,2.7,0,16.33
aug,wed,28.2,29,1.8,0,5.86
aug,thu,20.5,58,2.7,0,42.87
aug,sat,21.3,44,4.5,0,12.18
aug,sun,20.9,50,2.2,0,16
sep,sun,20.6,55,5.4,0,24.59
mar,thu,11.6,48,5.4,0,0
aug,fri,23.3,34,3.1,0,28.74
aug,fri,23.3,34,3.1,0,0
feb,mon,7.5,71,6.3,0,9.96
sep,fri,20.7,46,2.7,0,30.18
sep,sun,21.9,43,4,0,70.76
mar,tue,15.2,19,7.6,0,0
feb,mon,5.3,68,1.8,0,0
feb,sun,10.1,62,1.8,0,51.78
sep,sun,20.4,55,4.9,0,3.64
aug,sun,24.3,33,3.6,0,3.63
aug,sat,25.9,32,3.1,0,0
jun,wed,28,34,4.5,0,0
jun,wed,28,34,4.5,0,8.16
sep,thu,22.8,46,4,0,4.95
aug,fri,25,36,4,0,0
aug,thu,21.3,41,3.6,0,0
sep,wed,21.8,34,2.2,0,6.04
aug,tue,27.9,27,2.2,0,0
sep,sat,17,67,4.9,0,3.95
feb,sat,14.2,46,4,0,0
sep,fri,19.9,44,3.1,0,7.8
jul,tue,23.4,31,5.4,0,0
feb,fri,14.7,42,2.7,0,0
feb,fri,8.2,53,9.4,0,4.62
jul,mon,22.8,27,4.5,0,1.63
aug,sat,26.4,33,3.6,0,0
aug,sun,24.1,50,4,0,0
aug,thu,27.5,27,4.9,0,746.28
jul,tue,26.3,39,3.1,0,7.02
mar,wed,13.8,24,5.8,0,0
aug,sun,24.9,42,5.4,0,2.44
aug,sun,24.8,36,4,0,3.05
aug,wed,26.2,36,4.5,0,185.76
aug,wed,30.8,19,4.5,0,0
jul,sun,29.3,27,3.6,0,6.3
sep,sat,22.3,48,4,0,0.72
aug,sat,26.9,31,3.6,0,4.96
aug,thu,20.4,56,2.2,0,0
aug,thu,20.4,56,2.2,0,0
aug,mon,27.9,33,2.2,0,2.35
aug,thu,26.2,34,5.8,0,0
aug,sun,24.6,44,4,0,3.2
sep,thu,19.4,45,3.6,0,0
aug,sat,23.3,40,4,0,6.36
aug,thu,23.9,38,6.7,0,0
aug,sun,20.9,66,4.9,0,15.34
aug,fri,22.2,45,3.6,0,0
jul,sat,23.8,51,1.8,0,0
aug,mon,26.8,35,1.3,0,0.54
aug,sat,14.2,73,2.7,0,0
aug,sat,23.6,53,4,0,6.43
sep,fri,19.1,46,2.2,0,0.33
sep,fri,16.2,58,3.6,0,0
aug,mon,25.5,29,1.8,0,1.23
apr,mon,10.9,64,3.1,0,3.35
jul,fri,14.8,78,8,0,0
sep,fri,16.2,58,3.6,0,9.96
aug,sun,17.3,80,4.5,0,0
aug,sun,19.1,70,2.2,0,0
mar,wed,8.9,35,8,0,0
sep,wed,10.5,77,4,0,0
aug,sun,19.3,61,4.9,0,0
aug,wed,23.4,49,5.4,0,6.43
aug,fri,11.8,88,4.9,0,9.71
aug,mon,17.7,65,4,0,0
aug,thu,17.4,54,3.1,0,0
aug,thu,16.8,56,3.1,0,0
jul,mon,17.9,48,2.7,0,0
aug,thu,16.6,59,2.7,0,0
aug,wed,19.9,50,4,0,82.75
aug,sat,18.9,64,4.9,0,3.32
aug,sat,15.5,72,8,0,1.94
aug,sat,18.9,64,4.9,0,0
aug,sat,18.9,64,4.9,0,0
sep,sun,14.5,76,7.6,0,3.71
feb,tue,4.6,82,6.3,0,5.39
feb,tue,5.1,77,5.4,0,2.14
feb,sat,4.6,59,0.9,0,6.84
mar,mon,10.2,45,5.8,0,3.18
mar,wed,11.2,41,5.4,0,5.55
mar,thu,13.3,27,3.6,0,6.61
apr,sun,13.7,33,9.4,0,61.13
apr,sun,17.6,27,5.8,0,0
may,fri,18,40,4,0,38.48
jun,mon,14.3,79,4,0,1.94
jun,sat,24.5,50,3.1,0,70.32
jun,thu,26.4,35,2.7,0,10.08
jun,thu,22.7,40,9.4,0,3.19
jul,thu,27.2,28,1.3,0,1.76
jul,sun,26.1,45,4,0,7.36
jul,sun,18.2,82,4.5,0,2.21
jul,mon,22.6,57,4.9,0,278.53
jul,thu,30.2,25,4.5,0,2.75
jul,thu,30.2,22,4.9,0,0
aug,sun,23.4,40,5.8,0,1.29
aug,sun,31,27,5.4,0,0
aug,sun,33.1,25,4,0,26.43
aug,mon,30.6,28,3.6,0,2.07
aug,tue,24.1,43,6.3,0,2
aug,tue,26.4,34,3.6,0,16.4
aug,tue,19.4,71,7.6,0,46.7
aug,wed,20.6,58,1.3,0,0
aug,wed,28.7,33,4,0,0
aug,thu,32.4,21,4.5,0,0
aug,fri,32.4,27,2.2,0,0
aug,fri,27.5,29,4.5,0,43.32
aug,sat,30.8,30,4.9,0,8.59
aug,mon,23.9,42,2.2,0,0
aug,mon,32.6,26,3.1,0,2.77
aug,tue,32.3,27,2.2,0,14.68
aug,tue,33.3,26,2.7,0,40.54
aug,tue,27.3,63,4.9,6.4,10.82
aug,tue,21.6,65,4.9,0.8,0
aug,tue,21.6,65,4.9,0.8,0
aug,tue,20.7,69,4.9,0.4,0
aug,wed,29.2,30,4.9,0,1.95
aug,wed,28.9,29,4.9,0,49.59
aug,thu,26.7,35,1.8,0,5.8
aug,fri,18.5,73,8.5,0,0
aug,fri,25.9,41,3.6,0,0
aug,fri,25.9,41,3.6,0,0
aug,fri,21.1,71,7.6,1.4,2.17
aug,fri,18.2,62,5.4,0,0.43
aug,sun,27.8,35,2.7,0,0
aug,sun,27.8,32,2.7,0,6.44
aug,sun,21.9,71,5.8,0,54.29
aug,sun,21.2,70,6.7,0,11.16
aug,sat,25.6,42,4,0,0
nov,tue,11.8,31,4.5,0,0
